                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.5592,                 5.3803,                 4.0499,                 0.0002,                0.01832,                0.00019,                  3e-05,                 3.3224,                 5.4795,                 4.0462,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 3.4473,                 5.3581,                 4.0305,                0.00016,                0.01491,                0.00014,                  2e-05,                 3.3156,                 5.4681,                 4.0445,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 3.4674,                 5.3834,                 4.0127,                0.00015,                 0.0148,                0.00013,                  3e-05,                 3.3125,                 5.4549,                 4.0375,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                  3.434,                 5.3804,                 4.0103,                0.00039,                0.01405,                0.00028,                  5e-05,                 3.3095,                  5.448,                 4.0295,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                 3.3519,                 5.3861,                 4.0176,                0.00013,                0.01561,                0.00011,                  3e-05,                 3.3048,                 5.4557,                 4.0248,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 3.4116,                 5.3747,                 3.9945,                0.00017,                0.02119,                0.00015,                  5e-05,                 3.2915,                 5.4562,                 4.0176,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 3.5065,                 5.3098,                 3.9888,                0.00015,                0.01596,                0.00013,                  5e-05,                 3.2866,                 5.4518,                  4.012,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                 3.5407,                 5.2821,                  3.979,                0.00014,                0.01607,                0.00012,                  4e-05,                  3.283,                 5.4547,                 4.0056,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                 3.5358,                 5.2948,                 3.9563,                0.00011,                0.01266,                0.00011,                  3e-05,                 3.2778,                 5.4802,                 4.0003,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                 3.4834,                 5.2647,                 3.9832,                0.00012,                0.01347,                 0.0001,                  3e-05,                 3.2729,                  5.491,                 3.9951,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                 3.3604,                 5.3265,                 3.9628,                0.00045,                0.01836,                0.00031,                  7e-05,                 3.2723,                 5.4598,                 3.9852,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                 3.4712,                 5.3036,                 3.9562,                0.00013,                0.01552,                0.00013,                  3e-05,                 3.2631,                 5.4248,                 3.9771,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 3.4022,                 5.3251,                 3.9631,                0.00016,                0.01493,                0.00018,                  4e-05,                 3.2623,                 5.4047,                 3.9718,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                 3.4236,                 5.2464,                 3.9598,                0.00025,                0.02175,                0.00024,                  5e-05,                 3.2525,                 5.3972,                 3.9658,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                 3.3911,                  5.263,                 3.9465,                0.00044,                0.02231,                0.00035,                  7e-05,                 3.2426,                 5.3909,                 3.9563,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                 3.4614,                 5.2884,                 3.9341,                0.00043,                0.02253,                0.00036,                  8e-05,                 3.2346,                 5.3833,                 3.9484,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                 3.3971,                 5.2288,                 3.9465,                0.00049,                0.02493,                0.00037,                 0.0001,                 3.2294,                 5.3748,                 3.9435,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                 3.3945,                  5.243,                 3.9204,                 0.0004,                0.01531,                0.00028,                  7e-05,                 3.2275,                 5.3794,                 3.9359,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                 3.4119,                 5.2442,                 3.8995,                0.00068,                0.01633,                0.00067,                0.00012,                 3.2291,                 5.3869,                 3.9296,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                  3.375,                 5.2737,                  3.913,                 0.0005,                0.01941,                0.00045,                0.00011,                  3.229,                 5.3961,                  3.921,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                 3.3989,                 5.2142,                 3.8965,                 0.0005,                0.02181,                0.00049,                  9e-05,                 3.2284,                 5.4054,                 3.9115,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                 3.3749,                 5.3094,                 3.9081,                0.00029,                0.01589,                0.00026,                  7e-05,                 3.2242,                 5.4052,                 3.9023,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                  3.346,                 5.2874,                 3.9091,                0.00095,                0.02226,                0.00078,                0.00018,                 3.2252,                 5.3895,                 3.8982,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                 3.3738,                 5.2889,                 3.8968,                0.00065,                0.03464,                0.00094,                0.00025,                 3.2247,                 5.3779,                 3.8983,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 3.3099,                 5.2399,                 3.9017,                0.00094,                0.03705,                0.00145,                0.00031,                 3.2305,                 5.3784,                  3.899,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 3.3897,                 5.1913,                   3.88,                0.00089,                0.03429,                0.00138,                 0.0003,                 3.2284,                 5.3742,                  3.895,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                 3.3839,                 5.2486,                 3.8913,                0.00094,                0.03705,                 0.0014,                0.00029,                 3.2252,                 5.3846,                  3.893,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 3.2883,                 5.3264,                 3.9031,                0.00139,                0.04357,                0.00161,                0.00034,                 3.2231,                  5.394,                 3.8923,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                 3.3104,                 5.2191,                 3.8469,                0.00181,                0.04152,                0.00135,                0.00028,                 3.2209,                 5.3936,                  3.888,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 3.3442,                 5.2078,                 3.8789,                0.00106,                0.03535,                0.00131,                0.00028,                 3.2207,                  5.395,                 3.8821,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                  3.324,                 5.2044,                 3.8752,                0.00086,                0.03797,                0.00143,                0.00022,                 3.2182,                 5.3852,                 3.8759,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                 3.3361,                 5.2019,                 3.8676,                0.00084,                0.03803,                0.00141,                0.00021,                 3.2179,                 5.3805,                 3.8706,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 3.3364,                  5.222,                 3.8571,                0.00082,                0.03381,                 0.0014,                0.00021,                 3.2167,                 5.3587,                 3.8633,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                 3.3046,                 5.2471,                 3.8503,                0.00095,                0.03426,                 0.0012,                0.00019,                 3.2162,                   5.34,                 3.8563,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                 3.3382,                 5.1788,                 3.8497,                0.00083,                0.03398,                  0.001,                0.00021,                 3.2132,                 5.3243,                 3.8511,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                  3.278,                 5.2071,                 3.8508,                0.00069,                0.03557,                 0.0013,                0.00025,                 3.2115,                 5.3128,                 3.8475,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 3.3306,                  5.202,                 3.8605,                0.00062,                 0.0368,                0.00142,                0.00026,                 3.2123,                 5.3034,                 3.8445,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                 3.3497,                 5.1734,                 3.8471,                0.00063,                 0.0382,                0.00142,                0.00027,                 3.2144,                 5.3083,                 3.8466,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                 3.3512,                 5.2074,                 3.8165,                0.00039,                0.03197,                0.00141,                0.00027,                 3.2111,                 5.3127,                 3.8466,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                 3.2492,                 5.1708,                 3.8466,                0.00073,                0.03325,                 0.0009,                0.00027,                 3.2151,                 5.3069,                 3.8404,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                 3.3304,                 5.2073,                 3.8121,                0.00098,                0.03323,                0.00147,                0.00044,                  3.214,                 5.3071,                 3.8334,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                 3.3352,                 5.1675,                 3.8267,                0.00089,                0.03323,                0.00116,                 0.0004,                  3.211,                 5.3185,                 3.8329,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                 3.2848,                 5.2764,                 3.8627,                0.00071,                0.03428,                  0.001,                0.00033,                 3.2102,                 5.3196,                 3.8338,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                 3.2913,                 5.1759,                 3.8444,                 0.0006,                0.03732,                 0.0012,                0.00035,                 3.2035,                 5.3205,                 3.8336,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                 3.3078,                 5.2455,                 3.8383,                0.00059,                0.03777,                0.00148,                0.00035,                 3.1995,                 5.3124,                 3.8342,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                 3.3679,                 5.1994,                 3.7988,                 0.0003,                0.03015,                0.00153,                0.00034,                 3.1968,                 5.3039,                 3.8319,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                 3.2816,                  5.165,                 3.8045,                0.00074,                0.04234,                0.00225,                0.00036,                 3.1922,                 5.3026,                 3.8331,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 3.3043,                 5.1851,                 3.8241,                0.00069,                0.03682,                 0.0008,                0.00021,                 3.1911,                 5.3072,                 3.8328,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 3.3582,                 5.0959,                 3.8047,                0.00065,                0.03648,                0.00082,                0.00022,                 3.1901,                 5.3009,                 3.8294,             2.4752e-05,             2.4752e-05,             2.4752e-05
