                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                 0.6471,                0.51789,                 0.5945,                0.44093,                 1.0961,                 1.1488,                 1.1362,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2157,                 1.4435,                 1.2676,                0.66034,                0.54236,                0.61411,                0.45543,                  1.086,                 1.1066,                 1.1296,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.1928,                 1.3418,                 1.2426,                0.66426,                0.54776,                0.62407,                0.46367,                 1.0762,                 1.0913,                 1.1222,             9.3058e-06,             9.3058e-06,             9.3058e-06
